objectID,title,artistDisplayName,artistNationality,objectDate,objectBeginDate,objectEndDate,department,classification,medium,repository,objectURL,period,clean_title
260120,The Graduating Class,Frank Eugene,American,1913,1913,1913,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260120,1900-1950,the graduating class
260121,"Misses Weaver H. Patties' School for Girls, Munich",Frank Eugene,American,1912,1912,1912,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260121,1900-1950,misses weaver h patties school for girls munich
260122,Marie R. and Cryma,Frank Eugene,American,1900s,1900,1909,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260122,1900-1950,marie r and cryma
260123,SKH Prinzregent Ludwig von Bayern,Frank Eugene,American,1912–13,1912,1913,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260123,1900-1950,skh prinzregent ludwig von bayern
260124,Crown Prince Ludwig III of Bavaria,Frank Eugene,American,1912,1912,1912,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260124,1900-1950,crown prince ludwig iii of bavaria
260125,Crown Prince Rupprecht of Bavaria,Frank Eugene,American,1900–1908,1900,1908,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260125,1900-1950,crown prince rupprecht of bavaria
260126,H.R.H. Princess Rupprecht with Prince Leopold and Albrecht Johann,Frank Eugene,American,"1900–1908, printed 1910",1900,1908,Photographs,Photographs,Photogravure,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260126,1900-1950,h r h princess rupprecht with prince leopold and albrecht johann
260127,Maidie Hesselberger,Frank Eugene,American,1900–1909,1900,1909,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260127,1900-1950,maidie hesselberger
260128,H.R.H. Prince Leopold and Prince Johann Albrecht of Bavaria,Frank Eugene,American,1900–1908,1900,1908,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260128,1900-1950,h r h prince leopold and prince johann albrecht of bavaria
260129,H.R.H. Prince Leopold of Bavaria,Frank Eugene,American,1900–1908,1900,1908,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260129,1900-1950,h r h prince leopold of bavaria
260130,H.R.H. Prince Leopold and His Hobbyhorse,Frank Eugene,American,1900–1908,1900,1908,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260130,1900-1950,h r h prince leopold and his hobbyhorse
260131,"H.R.H. Prince Albrecht Johann. ""With Neither Crown Nor Scepter""",Frank Eugene,American,1900–1908,1900,1908,Photographs,Photographs,Platinum print,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/260131,1900-1950,h r h prince albrecht johann with neither crown nor scepter
