objectID,title,artistDisplayName,artistNationality,artistDisplayBio,objectDate,objectBeginDate,objectEndDate,department,classification,medium,culture,country,region,repository,objectURL,period,group,clean_title,title_length,happiness_score
261236,Greta Garbo,Arnold Genthe,"American, born Germany","American (born Germany), Berlin 1869–1942 New Milford, Connecticut",1926,1926,1926,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261236,1900-1950,European,greta garbo,2,
261238,Isadora Duncan,Arnold Genthe,"American, born Germany","American (born Germany), Berlin 1869–1942 New Milford, Connecticut",ca. 1925,1923,1927,Photographs,Photographs,Platinum print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261238,1900-1950,European,isadora duncan,2,
261239,Katherine Cornell,Arnold Genthe,"American, born Germany","American (born Germany), Berlin 1869–1942 New Milford, Connecticut",ca. 1925,1923,1927,Photographs,Photographs,Platinum print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261239,1900-1950,European,katherine cornell,2,5.390000000000001
261240,"John D. Rockefeller, Jr.",Arnold Genthe,"American, born Germany","American (born Germany), Berlin 1869–1942 New Milford, Connecticut",ca. 1925,1923,1927,Photographs,Photographs,Gelatin silver print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261240,1900-1950,European,john d rockefeller jr,4,5.1850000000000005
261571,Wiener Typen,Emil Mayer,Austrian,"Austrian, 1871–1938",1900s–1910s,1900,1919,Photographs,Portfolios,Bromoil prints,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261571,1900-1950,European,wiener typen,2,
261572,Fiaker,Emil Mayer,Austrian,"Austrian, 1871–1938",ca. 1910,1908,1912,Photographs,Photographs,Bromoil print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261572,1900-1950,European,fiaker,1,
261573,Wachman als Wegweiser,Emil Mayer,Austrian,"Austrian, 1871–1938",ca. 1910,1908,1912,Photographs,Photographs,Bromoil print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261573,1900-1950,European,wachman als wegweiser,3,4.58
261574,Schulausflug,Emil Mayer,Austrian,"Austrian, 1871–1938",ca. 1910,1908,1912,Photographs,Photographs,Bromoil print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261574,1900-1950,European,schulausflug,1,
261575,Einspönnerstandplatz,Emil Mayer,Austrian,"Austrian, 1871–1938",ca. 1910,1908,1912,Photographs,Photographs,Bromoil print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261575,1900-1950,European,einsp nnerstandplatz,2,
261576,Die Juwelierauslage,Emil Mayer,Austrian,"Austrian, 1871–1938",ca. 1910,1908,1912,Photographs,Photographs,Bromoil print,,,,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/261576,1900-1950,European,die juwelierauslage,2,1.74
