word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
websites,1937,6.24,1.4923,3365.0,,,
udah,7958,4.82,0.6908,3461.0,,,
takin,7490,4.94,1.2521,3512.0,,,1966.0
sei,7731,4.88,1.023,4802.0,,,1615.0
annoying,9905,2.82,1.32,1399.0,,,
mother's,115,7.66,1.2875,,3434.0,,
entering,3476,5.78,1.016,,3264.0,4511.0,
v-day,2278,6.12,1.507,,,,
reliable,597,7.0,1.4846,,4231.0,,
hides,8753,4.42,1.1082,,,,3612.0
voyage,692,6.9,1.3286,,4256.0,,
railway,2138,6.16,1.3439,,2633.0,,
adults,2412,6.06,1.3001,4648.0,2782.0,2433.0,
deserves,3070,5.88,1.8913,3609.0,,4135.0,
against,9587,3.4,1.2289,708.0,145.0,160.0,672.0
